what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821773375
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821783044
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821783081
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366821785732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821806502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821806705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821808768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821808826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821818797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821818838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821820589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821820644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821826775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821826814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821828457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821828511
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821844108
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366821846358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821855792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821855832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821857850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821857902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821867044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821867084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821868837
